iter	Passed	Remaining
0	6	6473
1	12	6047
2	16	5629
3	21	5411
4	26	5243
5	32	5384
6	38	5506
7	43	5345
8	47	5245
9	53	5270
10	57	5153
11	61	5084
12	64	4908
13	66	4695
14	68	4519
15	71	4378
16	74	4295
17	76	4158
18	78	4058
19	81	3979
20	83	3904
21	86	3829
22	88	3759
23	90	3686
24	92	3618
25	94	3556
26	97	3506
27	99	3445
28	101	3387
29	103	3331
30	104	3276
31	106	3227
32	107	3161
33	109	3121
34	112	3089
35	114	3054
36	115	3015
37	117	2978
38	119	2946
39	121	2916
40	122	2871
41	124	2842
42	126	2813
43	128	2783
44	129	2746
45	131	2728
46	133	2708
47	135	2688
48	137	2667
49	139	2643
50	141	2624
51	142	2606
52	145	2591
53	147	2577
54	149	2561
55	151	2546
56	152	2529
57	154	2514
58	156	2496
59	157	2467
60	159	2454
61	161	2447
62	163	2437
63	165	2425
64	167	2413
65	169	2399
66	171	2387
67	173	2375
68	175	2370
69	177	2357
70	179	2343
71	181	2334
72	182	2323
73	184	2312
74	186	2301
75	188	2292
76	190	2282
77	192	2276
78	194	2262
79	195	2252
80	197	2245
81	199	2236
82	201	2227
83	202	2208
84	204	2197
85	205	2186
86	207	2173
87	208	2164
88	210	2155
89	211	2137
90	213	2129
91	215	2122
92	216	2114
93	218	2107
94	220	2100
95	222	2095
96	224	2093
97	226	2089
98	228	2083
99	230	2078
100	232	2070
101	233	2058
102	235	2050
103	237	2043
104	238	2036
105	240	2030
106	242	2025
107	244	2018
108	245	2009
109	247	2000
110	248	1991
111	250	1984
112	252	1978
113	253	1972
114	255	1967
115	257	1960
116	259	1954
117	260	1947
118	262	1940
119	263	1933
120	265	1926
121	266	1920
122	268	1912
123	269	1905
124	271	1900
125	272	1893
126	274	1885
127	275	1878
128	277	1871
129	278	1864
130	280	1859
131	281	1853
132	283	1847
133	285	1842
134	286	1837
135	288	1832
136	289	1825
137	291	1821
138	293	1815
139	294	1809
140	296	1803
141	297	1799
142	299	1793
143	300	1787
144	302	1782
145	304	1779
146	305	1773
147	307	1768
148	308	1764
149	309	1756
150	311	1749
151	312	1744
152	314	1739
153	315	1734
154	317	1729
155	319	1727
156	320	1722
157	322	1717
158	323	1712
159	325	1707
160	326	1702
161	328	1697
162	329	1692
163	331	1688
164	332	1683
165	334	1681
166	336	1678
167	337	1673
168	339	1669
169	341	1666
170	343	1662
171	344	1658
172	346	1655
173	347	1651
174	349	1647
175	351	1644
176	353	1642
177	355	1640
178	357	1639
179	358	1634
180	359	1628
181	361	1626
182	363	1623
183	365	1622
184	367	1619
185	369	1615
186	370	1611
187	372	1607
188	373	1603
189	374	1597
190	376	1593
191	377	1589
192	379	1586
193	381	1582
194	382	1580
195	384	1577
196	386	1573
197	387	1569
198	389	1566
199	390	1562
200	392	1559
201	393	1555
202	394	1549
203	396	1545
204	397	1542
205	399	1539
206	400	1536
207	402	1533
208	404	1529
209	405	1525
210	407	1522
211	408	1519
212	410	1515
213	411	1512
214	413	1509
215	415	1507
216	416	1503
217	418	1500
218	419	1497
219	421	1494
220	422	1490
221	424	1487
222	425	1483
223	427	1480
224	428	1477
225	430	1475
226	432	1472
227	433	1469
228	435	1465
229	436	1462
230	438	1459
231	439	1455
232	441	1452
233	442	1449
234	444	1446
235	445	1443
236	447	1441
237	449	1439
238	451	1436
239	452	1433
240	454	1430
241	455	1427
242	457	1424
243	459	1422
244	460	1419
245	462	1417
246	463	1414
247	465	1411
248	467	1408
249	468	1406
250	470	1403
251	471	1399
252	473	1397
253	475	1395
254	476	1392
255	478	1390
256	480	1389
257	482	1387
258	483	1384
259	484	1379
260	486	1377
261	488	1375
262	490	1374
263	492	1372
264	494	1370
265	496	1369
266	498	1368
267	500	1365
268	501	1361
269	502	1359
270	504	1357
271	506	1354
272	507	1351
273	509	1349
274	511	1347
275	513	1346
276	514	1343
277	516	1341
278	518	1339
279	519	1335
280	520	1332
281	522	1330
